Entity_id,Phenotype,Catapp_id,Chem_name,Dose_1000x,Dose_100x,Dose_10x,Dose_1x,pod_sd1
119,Cardio_peak_freq_24hr,119,058/HFO,93.49588203,108.2102908,114.3262485,0,1.636341992
120,Cardio_peak_freq_24hr,120,131/HFO,88.80171881,104.5771812,90.92812222,131.7259059,1.672371737
121,Cardio_peak_freq_24hr,121,046/gasoline,96.61772844,99.65995526,93.22918018,89.15679346,1.095071212
122,Cardio_peak_freq_24hr,122,109/FO,98.73693805,109.4630872,106.1877698,99.8545001,2
123,Cardio_peak_freq_24hr,123,160/FO,96.98232364,104.3892617,104.8798,98.6350724,2
124,Cardio_peak_freq_24hr,124,064/UATO,98.34955565,101.6017897,141.9631658,0,1.663406733
125,Cardio_peak_freq_24hr,125,062/P&H wax,94.86311403,108.6487696,99.13926591,99.68821451,2
126,Cardio_peak_freq_24hr,126,072/OLBO,98.19004525,111.2796421,109.2881426,121.2499134,0.004630019
127,Cardio_peak_freq_24hr,127,086/kerosine,102.6563365,110.2774049,105.02513,105.3142105,0.416438658
128,Cardio_peak_freq_24hr,128,073/OLBO,103.1804421,116.2281879,117.596173,140.178757,-0.577161877
129,Cardio_peak_freq_24hr,129,138/OLBO,104.2742277,108.8993289,111.6376439,116.0119171,-0.565742023
130,Cardio_peak_freq_24hr,130,183/VHGOa,102.9753573,114.1923937,134.8662186,0,1.637511252
131,Cardio_peak_freq_24hr,131,018/HFO,107.9657541,110.1521253,123.0460471,0,1.607905997
132,Cardio_peak_freq_24hr,132,1*3*5-Trimethylbenzene,101.3802533,99.65995526,104.7829133,111.7993487,1.003047471
133,Cardio_peak_freq_24hr,133,025/HFO,99.55727726,112.3758389,121.689634,0,1.604471507
134,Cardio_peak_freq_24hr,134,134/HFO,102.8842085,128.787472,0,0,0.500466547
135,Cardio_peak_freq_24hr,135,p-Cymene,97.05068524,108.0223714,100.3987924,113.5176332,0.776061318
136,Cardio_peak_freq_24hr,136,056/gasoline,105.3224389,108.5861298,104.5406967,117.6747731,-0.142675484
137,Cardio_peak_freq_24hr,137,085D/OLBO,95.54673004,107.6152125,97.39530619,119.3930576,1.726324505
138,Cardio_peak_freq_24hr,138,139/OLBO,93.13128683,110.7158837,105.2189033,119.6147717,0.641696146
139,Cardio_peak_freq_24hr,139,028/HFO,45.20980501,65.20805369,72.68921011,0,-1.650115644
140,Cardio_peak_freq_24hr,140,078/HFO,82.92262118,87.10067114,91.36411215,0,0.902666683
141,Cardio_peak_freq_24hr,141,152/slackwax,93.92883883,104.0760626,98.43683769,93.20307628,2
142,Cardio_peak_freq_24hr,142,049/kerosine,97.41528045,110.6845638,101.4403239,100.6304995,2
143,Cardio_peak_freq_24hr,143,011/kerosine,97.21019564,109.9955257,103.5476085,113.1019192,0.477066556
144,Cardio_peak_freq_24hr,144,069/TDAE,95.84296364,107.9284116,113.6722636,116.8433451,0.055954726
145,Cardio_peak_freq_24hr,145,147/OLBO,96.75445164,110.8411633,106.2846564,99.74364304,2
146,Cardio_peak_freq_24hr,146,Decane,97.14183404,107.6465324,107.0597497,106.0070671,1.206474387
147,Cardio_peak_freq_24hr,147,117/OLBO,99.37497965,109.4317673,121.1325357,0,1.63235254
148,Cardio_peak_freq_24hr,148,149/OLBO,97.57479085,110.4653244,101.9005355,107.0602092,1.603618033
149,Cardio_peak_freq_24hr,149,061/P&Hwax,97.77987565,112.5324385,106.1393265,101.1570706,2
150,Cardio_peak_freq_24hr,150,085C/OLBO,101.9499333,108.9932886,106.1635481,118.0350585,0.086021667
151,Cardio_peak_freq_24hr,151,168/SRGO,100.5827013,108.5861298,136.19841,0,1.639292734
152,Cardio_peak_freq_24hr,152,Fluorene,94.84032683,102.1029083,104.9040217,116.7602023,1.170527643
153,Cardio_peak_freq_24hr,153,146/gasoline,96.27592044,116.8545861,101.7552055,98.38564401,2
154,Cardio_peak_freq_24hr,154,084/UATO,98.25840685,114.2863535,139.2503395,0,1.605545934
155,Cardio_peak_freq_24hr,155,Indene,94.49851883,104.2013423,101.1738856,115.3190605,1.532616414
156,Cardio_peak_freq_24hr,156,175/VHGO,92.49324522,110.935123,129.1499061,0,1.598092331
157,Cardio_peak_freq_24hr,157,171/SRGO,92.42488362,118.4519016,152.7902491,0,1.626298248
158,Cardio_peak_freq_24hr,158,172/SRGO,94.22507243,111.8747204,141.4545109,0,1.651576878
159,Cardio_peak_freq_24hr,159,186/RAE,89.57648361,108.0850112,95.28802152,90.57022102,1.964601823
160,Cardio_peak_freq_24hr,160,185/RAE,81.82883557,89.85682327,94.14960337,111.5776346,2
161,Cardio_peak_freq_24hr,161,034/HFO,98.80529965,124.246085,0,0,0.467063291
