Entity_id,Phenotype,control_id,control_value
522,Cardio_Total_Cell_24h,74,104.8577262
523,Cardio_Total_Cell_24h,75,104.1882024
524,Cardio_Total_Cell_24h,76,96.77193886
525,Cardio_Total_Cell_24h,77,100.8920853
526,Cardio_Total_Cell_24h,78,92.96080343
527,Cardio_Total_Cell_24h,79,101.2525981
528,Cardio_Total_Cell_24h,80,95.17538213
529,Cardio_Total_Cell_24h,81,104.9607299
530,Cardio_Total_Cell_24h,82,104.3942097
531,Cardio_Total_Cell_24h,83,99.08952122
532,Cardio_Total_Cell_24h,84,103.8276896
533,Cardio_Total_Cell_24h,85,92.02515817
534,Cardio_Total_Cell_24h,86,99.13215505
535,Cardio_Total_Cell_24h,87,93.17481943
536,Cardio_Total_Cell_24h,88,97.51217782
537,Cardio_Total_Cell_24h,89,98.45280976
538,Cardio_Total_Cell_24h,90,89.83035031
539,Cardio_Total_Cell_24h,91,95.26511263
540,Cardio_Total_Cell_24h,92,96.10122991
541,Cardio_Total_Cell_24h,93,103.2604841
542,Cardio_Total_Cell_24h,94,112.9803475
543,Cardio_Total_Cell_24h,95,96.46703122
544,Cardio_Total_Cell_24h,96,104.0966014
545,Cardio_Total_Cell_24h,97,95.42188462
546,Cardio_Total_Cell_24h,98,95.31736996
547,Cardio_Total_Cell_24h,99,96.57154588
548,Cardio_Total_Cell_24h,100,95.05608331
549,Cardio_Total_Cell_24h,101,102.8424255
550,Cardio_Total_Cell_24h,102,102.4766242
551,Cardio_Total_Cell_24h,103,96.72831787
552,Cardio_Total_Cell_24h,104,104.1488587
553,Cardio_Total_Cell_24h,105,99.60247103
554,Cardio_Total_Cell_24h,106,104.828204
555,Cardio_Total_Cell_24h,107,102.4243668
556,Cardio_Total_Cell_24h,108,112.1442302
557,Cardio_Total_Cell_24h,109,106.4481813
558,Cardio_Total_Cell_24h,110,99.49795637
559,Cardio_Total_Cell_24h,111,104.0443441
560,Cardio_Total_Cell_24h,112,104.1488587
561,HUVEC_Mito_24h,1,88.37039204
562,HUVEC_Mito_24h,2,118.5781159
563,HUVEC_Mito_24h,3,93.79754242
564,HUVEC_Mito_24h,4,97.58630778
565,HUVEC_Mito_24h,5,109.9765945
566,HUVEC_Mito_24h,6,103.3206554
567,HUVEC_Mito_24h,7,100.1462844
568,HUVEC_Mito_24h,8,105.8806319
569,HUVEC_Mito_24h,9,102.3990638
570,HUVEC_Mito_24h,10,93.89994149
571,HUVEC_Mito_24h,11,91.13516676
572,HUVEC_Mito_24h,12,104.4470451
573,HUVEC_Mito_24h,13,91.64716208
574,HUVEC_Mito_24h,14,101.6822703
575,HUVEC_Mito_24h,15,100.1462844
576,HUVEC_Mito_24h,16,104.8566413
577,HUVEC_Mito_24h,17,100.8630778
578,HUVEC_Mito_24h,18,111.2053833
579,HUVEC_Mito_24h,19,105.1638385
580,HUVEC_Mito_24h,20,97.79110591
581,HUVEC_Mito_24h,21,96.25511995
582,HUVEC_Mito_24h,22,94.41193681
583,HUVEC_Mito_24h,23,105.6758338
584,HUVEC_Mito_24h,24,102.9110591
585,HUVEC_Mito_24h,25,90.62317145
586,HUVEC_Mito_24h,26,97.38150965
587,HUVEC_Mito_24h,27,92.97834991
588,HUVEC_Mito_24h,28,96.86951434
589,HUVEC_Mito_24h,29,106.1655468
590,HUVEC_Mito_24h,30,118.1569815
591,HUVEC_Mito_24h,31,105.752049
592,HUVEC_Mito_24h,32,91.38300229
593,HUVEC_Mito_24h,33,90.55600679
594,HUVEC_Mito_24h,34,109.8870265
595,HUVEC_Mito_24h,35,101.720446
596,HUVEC_Mito_24h,36,98.10234069
597,HUVEC_Mito_24h,37,106.5790445
598,HUVEC_Mito_24h,38,97.06859632
599,HUVEC_Mito_24h,39,100.6867016
600,HUVEC_Mito_24h,40,92.20999778
601,HUVEC_Mito_24h,41,100.9968249
