,direction,pod.sd1,pod.sd2,pod.sd3,pod.sd.upper1,pod.sd.upper2,pod.sd.upper3,EC10,EC50,EC90,pod_sd1_log
159,down,100,100,100,100,100,100,3.14E-60,4.73E-09,7.14E+42,2
160,down,43.50534058,100,100,100,100,100,6.49E-09,0.000129164,2.569633798,1.638542573
161,down,1.868931317,2.103051198,2.261871465,1.922255299,2.166494999,2.334372544,2.117864509,2.996592007,4.239914131,0.271593341
162,down,100,100,100,100,100,100,1.93E-46,9.23E-08,4.40E+31,2
163,down,13.30432645,18.30339171,22.19160358,14.36685949,19.80849221,24.09838394,20.61860228,52.21801771,132.2456942,1.123992893
164,down,10.892208,15.51833228,19.27672343,11.85226923,16.95871195,21.16146149,17.48517089,50.58785071,146.3600588,1.037115926
165,down,3.123691366,5.838830128,8.518951636,3.62969091,6.819126646,10.00491231,9.3836308,62.28076727,413.3681359,0.494668117
166,down,100,100,100,100,100,100,0.001214879,0.004171982,0.014326881,2
167,down,0.262338148,11.68950802,100,0.496208155,63.70470716,100,4.49E-09,0.007436395,12325.94904,-0.581138552
168,down,60.08125818,76.63972165,92.1242378,63.44336936,82.21585066,100,51.27233251,92.81774919,168.0269679,1.778739019
169,down,6.410874777,74.17822438,100,10.94136921,100,100,0.812211014,454.8079747,254675.5589,0.806917294
170,down,7.268973212,10.67026753,13.49828462,7.966975579,11.74764786,14.93635044,11.8265887,37.03720891,115.9890547,0.861473068
171,down,8.42276844,12.30320323,15.5100283,9.221283638,13.52695493,17.13400795,13.91258846,43.0404976,133.1516733,0.925454861
172,down,100,100,100,100,100,100,9.09E-64,7.15E-10,5.63E+44,2
173,down,0.284043006,5.292960128,94.59776487,0.494122801,15.03392598,100,1.04E-05,7.642937998,5615802.345,-0.546615899
174,down,10.75432535,100,100,42.69486097,100,100,1.74E-12,0.021014399,254527161.8,1.031583171
175,down,0.063132942,3.594537203,100,0.097837979,100,100,2.44E-05,0.003226379,0.427390248,-1.199743975
176,down,100,100,100,100,100,100,1.26E-05,0.000713402,0.040449097,2
177,down,0.125972385,100,100,0.241799946,100,100,8.48E-06,0.002586832,0.789438881,-0.899724649
178,down,100,100,100,100,100,100,1.56E-25,0.002176627,3.041E+19,2
179,down,100,100,100,100,100,100,2.67E-19,0.000127418,60818825903,2
180,down,100,100,100,100,100,100,6.64E-30,9.52E-06,1.36524E+19,2
181,down,100,100,100,100,100,100,4.20E-53,2.41E-08,1.38E+37,2
